,Vote,Occupation_Satisfaction,Avg_monthly_expense_when_under_age_21,Avg_lottary_expanses,Age_group,Avg_monthly_expense_on_pets_or_plants,Looking_at_poles_results,Avg_environmental_importance,Married,Gender,Voting_Time,Financial_balance_score_(0-1),%Of_Household_Income,Yearly_IncomeK,Avg_size_per_room,Garden_sqr_meter_per_person_in_residancy_area,Avg_Residancy_Altitude,Yearly_ExpensesK,%Time_invested_in_work,Avg_education_importance,Avg_Satisfaction_with_previous_vote,Avg_monthly_household_cost,Will_vote_only_large_party,Phone_minutes_10_years,Avg_government_satisfaction,Weighted_education_rank,%_satisfaction_financial_policy,Avg_monthly_income_all_years,Last_school_grades,Most_Important_Issue,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Main_transportation,Occupation,Financial_agenda_matters,Num_of_kids_born_last_10_years,Overall_happiness_score
2872,Greys,10.0,288.1562744,49526.115710000005,30-45,9332.056364,No,860.2948190999999,No,Male,After_16:00,0.38655038399999997,0.848391626,6722.0,622.9638797,75.18284023,6402.100307,929.9864359,94.75327809,24.95924437,5.278,70013.6214,No,265861.1534,9.749750276,515.6172548000001,77.32903231,96.05209145,40.0,Foreign_Affairs,8.0,124.01202340000002,1.0,Foot_or_bicycle,Services_or_Retail,No,1.0,496.13120369999996
2874,Turquoises,5.0,796.8205871,107520.7998,30-45,70822.6122,Yes,,Yes,Female,By_16:00,0.352954992,0.0063785790000000005,5493.0,406.7458068,54.64985778,4861.609906000001,637.0668667,9.326833417000001,20.16794007,4.507,52842.56822,Yes,163872.6171,1.995349105,404.8118292,80.64009061,265.6068624,60.0,Financial,12.0,157.2696995,0.0,Car,Services_or_Retail,No,0.0,583.5261993
2875,Browns,8.0,311.73596989999993,5986.980068,Below_30,10911.61365,No,151.5465802,Yes,Female,After_16:00,0.37645277899999996,0.49840349700000003,7722.0,109.0904395,65.35791091,794.339614,707.6337256,45.17502999,10.44463688,8.277999999999999,11896.47049,Yes,3319.588878,2.9698328,57.61587349,72.17327836,103.91199,70.0,Social,13.0,715.8011002999999,2.0,Foot_or_bicycle,Public_Sector,Yes,1.0,95.20719456
2876,Browns,5.0,328.3617784,25290.38159,30-45,12099.61587,No,428.47780250000005,Yes,Male,After_16:00,0.9281425759999999,0.952552526,9030.0,381.0811129,10.44249309,3072.758336,595.7881347,55.91350794,19.52129896,6.97,37284.84905,No,53388.54383,1.97266639,231.059611,43.33179144,109.45392609999999,60.0,Financial,9.0,476.704747,1.0,Motorcycle_or_truck,Industry_or_other,No,1.0,124.79767959999998
2877,Browns,10.0,35.01837862,245.10406780000002,Below_30,157.9268864,No,24.72737289,Yes,Male,After_16:00,0.135490469,0.5168674360000001,4098.0,23.148611300000002,83.75850890000001,256.27616290000003,644.2416944,38.7233315,4.811300376,,2291.369435,Maybe,440.91155360000005,2.5091006680000003,20.99789403,52.91963858,11.67279287,100.0,Education,15.0,838.6032847,3.0,Car,Hightech,No,0.0,3.587666622
2879,Browns,10.0,707.6666845999999,16685.0406,45_and_up,55889.45962,No,514.2692757,Yes,Female,By_16:00,0.322446644,0.069072877,7707.0,374.7039848,45.16823837,1456.734214,791.3569524000001,27.95518353,19.35727214,8.293,38997.04504,Maybe,5003.104157,2.264445305,70.73262442,12.70248569,235.8888949,80.0,Healthcare,10.0,474.9669711,1.0,Motorcycle_or_truck,Hightech,Yes,0.0,339.9248538
2880,Blues,9.0,1358.33691,356807.5552,45_and_up,205471.5746,Yes,990.6674406,No,Male,After_16:00,0.9279663229999999,0.693443191,4066.0,963.6870393999999,9.830037877,9807.765592,538.4638477000001,67.22322491,31.04330909,9.934,92540.70747000001,Yes,621005.7041,7.603376798999999,788.0391513,37.8479063,452.77897,70.0,Social,9.0,683.241494,2.0,Motorcycle_or_truck,Services_or_Retail,No,0.0,89.09037989
2882,Browns,8.0,542.4211757,11507.86091,Below_30,32881.99948,No,453.3842676,Yes,Male,By_16:00,0.674202532,0.759055108,,331.9871338,77.97531893,1300.4461509999999,195.939993,76.38907079,18.22051409,9.636000000000001,34459.604810000004,Yes,4050.964587,2.9587124310000004,63.64718836,27.98221603,180.80705859999998,100.0,Education,14.0,509.96050080000003,3.0,Public_or_other,Hightech,Yes,1.0,296.4622566
2883,Purples,1.0,341.40813210000005,33777.71799,30-45,13074.85968,No,205.63705819999998,Yes,Female,After_16:00,0.44218607299999996,0.87932016,9114.0,91.73018531,22.52090052,3151.554696,481.099068,97.76535148,9.577587656,6.886,16680.52679,No,88095.83926000001,0.672052682,296.80943260000004,32.18536894,113.8027107,90.0,Environment,14.0,,1.0,Motorcycle_or_truck,Industry_or_other,No,1.0,186.79789630000002
2885,Greys,7.0,637.8186592999999,107528.9345,30-45,45424.0109,No,719.4347779,No,Male,By_16:00,0.47584510700000004,0.211478855,3861.0,534.2879451,5.2256837019999995,6126.232936,428.5121365,22.57357875,23.11466948,8.139,59989.0092,Maybe,255798.948,2.7837025960000004,505.7657046,83.01332896,212.60621980000002,30.0,Military,5.0,128.7842162,1.0,Public_or_other,Hightech,Yes,3.0,375.99811370000003
2887,Khakis,6.0,356.931359,38616.52616,Below_30,14284.532130000001,No,577.6594102000001,Yes,Male,After_16:00,0.735600638,0.27616631,3298.0,383.7625819,60.16260139,4013.235454,713.9131255,10.49461712,19.58985916,6.702000000000001,45410.24929,No,105346.3529,2.916903745,324.571029,22.73527947,118.97711969999999,100.0,Education,9.0,233.1527466,1.0,Foot_or_bicycle,Industry_or_other,Yes,2.0,399.6319671
2888,Browns,9.0,800.7160699,26197.01055,45_and_up,71515.37475,No,463.6500575,Yes,Male,By_16:00,0.330429362,0.000335913,6670.0,381.1249763,65.87632305,1743.7593120000001,885.3957399,23.14717819,19.5224224,,37256.39833,Maybe,9633.606219,6.457194262000001,98.15093591,54.21439738,266.9053566,100.0,Education,14.0,503.0859411,1.0,Public_or_other,Hightech,No,1.0,221.64497039999998
2889,Whites,2.0,884.1014254,136288.9446,45_and_up,87153.07052000001,No,683.4674253,Yes,Female,After_16:00,0.09720336,0.525550894,9748.0,445.6318301,16.08122324,5515.923479,565.2873516,61.36270189,21.10999361,0.252,54375.46838,No,213874.7844,4.446038124,462.46598190000003,6.979202363,294.7004751,90.0,Environment,9.0,71.63622606,1.0,Public_or_other,Industry_or_other,Yes,0.0,472.3043601
2891,Greens,4.0,442.13713160000003,41190.82628,30-45,21877.96162,No,812.0931327999999,Yes,Male,After_16:00,0.468257418,0.419554476,6795.0,515.9802777,49.95510816,3826.850873,727.6332183,95.44993849,22.71519927,3.205,,No,78114.11889,3.6986481610000004,279.4890318,51.82533797,147.3790439,80.0,Healthcare,10.0,261.4333407,2.0,Foot_or_bicycle,Hightech,Yes,0.0,639.5239594999999
2892,Blues,7.0,1389.1304,256517.3457,45_and_up,214882.2955,Yes,359.2217367,No,Female,After_16:00,0.7232279640000001,0.456805542,6178.0,233.8466542,53.89125803,6007.504669,347.6800793,9.722801367999999,15.29204545,7.822,32420.046830000003,Maybe,306895.0991,7.658472271,553.9811361000001,94.8714084,463.04346669999995,80.0,Healthcare,11.0,414.6008647,2.0,Public_or_other,Industry_or_other,Yes,2.0,186.7232686
2893,Turquoises,8.0,359.246485,54406.704000000005,Below_30,14469.530709999999,No,721.0291804,Yes,Female,By_16:00,0.735776495,0.09655889599999999,4253.0,479.0107165,90.90581944,5501.423215,496.8599088,35.77994918,21.88631345,5.747000000000001,57290.974160000005,Yes,206424.9975,7.999447257999999,454.34017819999997,36.10793813,119.7488283,90.0,Environment,11.0,51.4490759,4.0,Foot_or_bicycle,Public_Sector,Yes,6.0,488.97103539999995
2894,Greens,4.0,1000.569289,102745.0773,30-45,111581.1788,No,818.7530468,Yes,Male,By_16:00,0.39238647200000004,0.062408902999999995,5538.0,499.6259842,23.76804422,4079.850536,141.83987,56.917271299999996,22.35231496,4.462,60768.14536,No,94900.87536,2.629969616,308.0598568,60.83757610000001,333.5230963,,Environment,15.0,260.80105019999996,4.0,Car,Services_or_Retail,Yes,0.0,676.5673506
2895,Turquoises,6.0,825.3243625,130037.11,Below_30,75969.58627,No,683.7036972999999,Yes,Male,After_16:00,0.905019155,0.161185028,5857.0,421.35162249999996,0.40024300100000004,5569.46702,691.6396262000001,86.26172261,20.52685126,4.143,53575.72978,Yes,223422.9578,9.218364304,472.67637750000006,47.20007854,275.1081208,100.0,Education,16.0,84.50229628,2.0,Car,Services_or_Retail,No,0.0,514.4391985000001
2896,Browns,6.0,699.7467074,8610.362512,Below_30,54648.29941,No,185.5531405,Yes,Male,After_16:00,0.39232904799999996,0.033380695,6760.0,156.40148169999998,44.15299518,681.952075,864.5113399,13.96298972,12.5060578,9.24,15030.28655,Maybe,1362.710665,7.901728752,36.91491115,1.273934986,233.24890249999999,100.0,Education,,712.0843022,3.0,Foot_or_bicycle,Public_Sector,No,0.0,82.20063167
2897,Reds,4.0,208.4684226,36025.19769,45_and_up,4908.2765,Yes,843.8414941999999,No,Female,After_16:00,0.5300704589999999,0.7946010659999999,7863.0,523.4176097,22.64756507,6231.10206,477.5440057,15.36911577,22.87832183,4.137,65449.11935,No,268766.2267,4.048467444,518.426684,2.118688379,69.48947421,40.0,Foreign_Affairs,8.0,144.94206359999998,3.0,Public_or_other,Public_Sector,No,0.0,641.845954
2899,Turquoises,7.0,850.9315513,129511.9684,Below_30,80747.47773,Yes,678.0434411,,Male,After_16:00,0.276307238,0.783927769,7407.0,454.7630972,7.658349886,5475.532761,520.7155223,76.76610858,21.325175199999997,2.593,54405.701989999994,Maybe,208484.1597,9.245057183,456.6006567,18.76818424,283.64385039999996,90.0,Environment,11.0,82.61388921,3.0,Public_or_other,Hightech,Yes,0.0,446.193176
2901,Pinks,8.0,446.1857574,106721.7786,45_and_up,22278.92082,No,923.8795935,No,Female,After_16:00,0.5462875739999999,0.146241171,9911.0,673.3145352000001,51.58603138,8522.235432,208.3126584,95.04535256,25.94830506,0.08900000000000001,77386.15425,No,514893.2665,7.07776587,717.5606361,80.96133529,148.7285858,90.0,Environment,8.0,278.2627231,0.0,Motorcycle_or_truck,Student_or_Unemployed,No,0.0,492.28089639999996
2902,Blues,4.0,1931.752863,259199.0239,Below_30,415283.8203,No,1012.9673640000001,Yes,Female,By_16:00,0.943639743,0.833993207,8283.0,542.5966561,8.005733625,5110.537788000001,455.35814129999994,28.20229945,23.29370422,5.7170000000000005,72532.15682999999,Yes,162033.9815,3.521976178,402.5344476,50.89200407,643.9176209999999,60.0,Financial,11.0,480.67056119999995,3.0,Foot_or_bicycle,Student_or_Unemployed,Yes,0.0,968.753858
2903,Browns,4.0,637.3160642999999,24967.89538,Below_30,45352.63489,Yes,308.5498476,Yes,Male,By_16:00,0.8527329779999999,0.461442455,3880.0,213.2649818,56.26123163,1601.828851,852.0080452,70.79320929,14.60359482,,23882.691909999998,No,13813.27475,7.414808555,117.52988870000001,97.55611627,212.4386881,80.0,Healthcare,12.0,559.2537186000001,0.0,Motorcycle_or_truck,Services_or_Retail,No,1.0,209.7167503
2904,Browns,10.0,307.89671989999994,13724.09246,Below_30,10646.00892,Yes,217.8256833,Yes,Female,After_16:00,0.119962013,,7195.0,186.8111236,27.104341700000003,1710.8329,133.9096564,26.16939861,13.66788658,8.805,18889.03201,Maybe,17881.32331,2.840008882,133.7210653,91.88561344,102.63224,80.0,Healthcare,13.0,644.1102427999999,3.0,Foot_or_bicycle,Industry_or_other,Yes,0.0,72.64713105
2905,Khakis,1.0,464.35050240000004,55149.7225,45_and_up,24122.71562,Yes,631.3179987999999,Yes,Male,By_16:00,0.627881465,0.602108858,7813.0,425.9371972,57.09081709,4414.897728,471.9108638999999,16.23980892,20.63824598,2.187,49899.95269,Maybe,126951.3528,0.20627418100000003,356.30233339999995,17.51480419,154.7835008,70.0,Social,6.0,178.3427283,0.0,Public_or_other,Public_Sector,Yes,1.0,
2906,Browns,9.0,64.4361943,5109.9128630000005,Below_30,492.81463539999993,Yes,464.9797757,Yes,Male,By_16:00,0.35102354,0.75344507,4190.0,372.53496210000003,54.29856977,3124.12703,696.7601529,36.37767127,19.30116479,11.81,38718.95003,Yes,56599.127120000005,3.7678135580000003,237.90571060000002,19.35233225,21.47873143,100.0,Education,12.0,409.8671389,4.0,Motorcycle_or_truck,Hightech,No,0.0,211.81547740000002
2907,Whites,5.0,147.61040880000002,24586.97804,45_and_up,2480.18489,No,702.3893962999999,Yes,,By_16:00,0.097095104,0.431136975,5344.0,456.3082529,38.40743667,5909.617375,748.6101993999999,96.94866736,21.36137292,4.656000000000001,56119.69187,Yes,249700.1769,6.54420862,499.7000869,22.28954141,49.2034696,70.0,Social,8.0,46.71016605,6.0,Public_or_other,Hightech,Yes,0.0,483.4839199
2908,Purples,6.0,117.7326915,16468.41165,30-45,1589.353859,No,257.2127701,Yes,Female,By_16:00,0.119917735,0.387897424,4761.0,62.00002853,76.11653979,4320.390568,971.4541313999999,7.027325081,7.874009686,11.239,19428.512759999998,No,176096.9332,2.019908582,419.6390511,1.009282237,39.24423051,90.0,Environment,11.0,480.72851789999993,3.0,Car,Industry_or_other,Yes,0.0,318.89767870000003
2910,Purples,7.0,114.1031672,18770.57124,Below_30,1494.649141,No,525.7931037999999,Yes,Male,By_16:00,0.9384216740000001,0.975538535,8711.0,274.32174249999997,14.82996093,5483.8013,871.4241933000001,52.48632585,16.56266109,7.289,40894.89772,No,243557.8266,3.102878395,493.51578150000006,49.01550384,38.03438907,70.0,Social,11.0,229.44544190000002,1.0,Motorcycle_or_truck,Industry_or_other,No,0.0,459.1039149
2911,Browns,2.0,271.4849026,8946.88107,Below_30,8289.834114,Yes,177.03174850000002,Yes,Female,By_16:00,0.66458662,0.666677593,8187.0,158.7177755,20.69740882,1306.0961710000001,108.51072240000002,64.71769223,12.59832431,7.813,15495.90574,No,9774.498217,3.8986548830000003,98.86606201,96.17916009999999,90.49496752,90.0,Environment,12.0,693.6465222999999,2.0,Motorcycle_or_truck,Student_or_Unemployed,No,2.0,48.59828879
2913,Whites,7.0,235.0076023,41963.04091,30-45,6224.843993,No,646.5918617000001,No,Male,By_16:00,0.03315688,0.959346218,8859.0,418.40416339999996,61.14641563,6193.618978,420.8597459,39.21373088,20.45493005,1.141,52536.07155,Yes,286954.2036,9.636189486000001,535.6810651999999,86.83945255,78.33586743,60.0,Financial,6.0,111.49324270000001,1.0,Foot_or_bicycle,Public_Sector,Yes,5.0,432.9200164
2914,Purples,4.0,265.8353301,32877.18749,Below_30,7950.65875,No,211.1542945,Yes,Male,After_16:00,0.127613828,0.124557326,5417.0,72.36124874,78.28915727,3854.97284,14.49420583,8.752599964,8.506541527000001,10.583,17106.95218,No,137659.576,4.5570901710000005,371.0250342,32.34201546,88.61177672,90.0,Environment,12.0,528.3144747,2.0,Public_or_other,Industry_or_other,Yes,1.0,217.85333450000002
2915,Reds,6.0,908.4997735,155484.4406,30-45,92020.81532000001,No,731.3016625,No,Female,After_16:00,0.37760470700000004,0.726807295,8186.0,438.85852400000005,38.47948862,6012.042177,579.6564212000001,28.04408062,20.94895043,3.8139999999999996,56946.37866,No,263612.9453,5.268890234,513.4325129,68.21066095,302.8332578,40.0,Foreign_Affairs,10.0,93.88674240000002,3.0,Public_or_other,Services_or_Retail,No,3.0,569.9714792000001
2916,Turquoises,4.0,418.85707260000004,52776.49877,Below_30,19643.090940000002,No,559.3669854,Yes,Female,After_16:00,0.8541102140000001,0.168711408,8134.0,336.9492055,94.81381699,4453.9347689999995,204.84419,25.71944811,18.35617622,1.8659999999999999,43424.36574,Maybe,142886.7487,8.761823345,378.0036358,29.56610227,139.61902419999998,90.0,Environment,12.0,213.2723762,2.0,Car,Industry_or_other,Yes,0.0,436.62467360000005
2919,Browns,6.0,582.9299761,43561.07497,30-45,37960.68299,Yes,385.24055710000005,Yes,Male,By_16:00,0.7992597379999999,0.322813217,5246.0,293.8501211,6.947747595,2829.5342579999997,887.9135677000002,90.19550222,17.14205708,10.754000000000001,31843.554480000003,Yes,50258.19753,9.687189395,224.1834015,16.01377218,194.309992,60.0,Financial,10.0,458.86254519999994,1.0,Foot_or_bicycle,Public_Sector,Yes,0.0,196.7142159
2920,Greys,1.0,61.27130345,9328.277604,45_and_up,447.5540596,Yes,790.0700799,Yes,Female,After_16:00,0.787669477,0.6148705289999999,6363.0,539.8739853999999,53.69722024,5647.111686,121.4893186,7.737087971,23.23518852,5.6370000000000005,62845.89052000001,No,208608.113,9.319650682,456.73637149999996,13.50434828,20.42376782,30.0,Military,6.0,61.24823959,3.0,Foot_or_bicycle,Services_or_Retail,Yes,0.0,517.0197118
2921,Browns,9.0,373.60580510000005,4855.646306000001,Below_30,15643.56834,No,45.7098749,Yes,Male,By_16:00,0.556629335,0.07402483900000001,7580.0,45.1772511,73.72527549,480.2558024,862.6791538999998,97.24394721,6.721402465,,4329.97375,Yes,1520.230239,4.157994092,38.99013002,59.71626837,124.5352684,70.0,Social,13.0,816.7597343,2.0,Foot_or_bicycle,Student_or_Unemployed,Yes,0.0,2.3026718230000003
2922,Browns,4.0,594.0646861,58091.01735,Below_30,39420.56059,Yes,539.7087554999999,Yes,Male,,0.275076373,0.23665071899999998,8221.0,465.8972496,85.55788659,3865.3648009999997,911.7165305999999,39.37784357,21.5846531,7.779,46447.86376,No,86058.34715,1.694779035,293.35703019999994,46.46666211,198.02156200000002,80.0,Healthcare,10.0,380.66386789999996,5.0,Foot_or_bicycle,Student_or_Unemployed,Yes,0.0,182.1310557
2923,Blues,3.0,1622.385005,437243.2875,30-45,293010.0289,Yes,253.5921926,No,Male,After_16:00,0.772744277,0.186201125,7245.0,144.5830469,91.94476295,8374.360779999999,731.8834264,6.047469215,12.02426908,6.755,27271.78788,Maybe,653703.7312,5.277221084,808.5194686000001,42.28800957,540.7950017000001,60.0,Financial,8.0,627.3267016,3.0,Car,Services_or_Retail,Yes,1.0,85.23100708
2924,Blues,1.0,1776.859213,376618.0164,30-45,351405.471,Yes,625.7496424,No,Male,After_16:00,0.933697689,0.306877133,9866.0,104.33655470000001,84.65566225,6567.3876390000005,532.135813,78.37838794,10.21452665,4.1339999999999995,,Maybe,404332.5047,3.176244493,635.871453,92.81527272,592.2864042,80.0,Healthcare,13.0,604.6152678,1.0,Car,Hightech,Yes,1.0,936.5191957999999
2925,Yellows,8.0,-161.11677609999998,-28573.767999999996,30-45,2840.585025,Yes,740.4848817000001,No,Male,By_16:00,0.072427545,0.25725027100000003,9478.0,541.8972748,61.89793805,6404.240133,635.5715231,87.15870222,23.27868714,4.522,61576.89189,Yes,283071.4121,4.271155747,532.0445583000001,12.85353585,-53.70559205,100.0,Education,14.0,113.8148217,3.0,Car,Student_or_Unemployed,Yes,0.0,399.1457572
2926,Pinks,10.0,102.9365614,11040.92229,45_and_up,1221.638373,No,638.8559667999999,Yes,Female,After_16:00,0.053623915,0.628192777,9541.0,374.0186646,73.88949941,3965.8217990000003,733.9215931,67.81715285,19.33956216,0.45899999999999996,47814.54767,No,103541.369,7.4842413279999995,321.778447,58.34370565,34.31218713,60.0,Financial,5.0,221.90999449999998,4.0,Foot_or_bicycle,Student_or_Unemployed,No,3.0,540.1226477000001
2927,Greys,6.0,439.59852750000005,91233.62642999999,30-45,21628.40678,Yes,674.2865302,No,Male,By_16:00,0.946566072,0.23934903899999999,7934.0,432.7384045,71.31341619,7091.632315999999,217.7724086,84.54069155,20.80236536,4.066,55441.31563,Yes,387650.124,8.17913617,622.6155507,93.78284439,146.53284250000002,30.0,Military,8.0,150.2345488,2.0,Car,Hightech,Yes,0.0,445.1208222
2928,Khakis,3.0,523.7523585,58218.68306,Below_30,30664.1989,Yes,613.5804099,Yes,Male,By_16:00,0.020104418,0.532536005,7499.0,410.1738165,51.829583500000005,4155.054319,469.1905675,94.80451052,20.25274837,2.501,48192.44446,No,111202.6868,9.377249759,333.4706686,65.33542657,174.5841195,70.0,Social,7.0,204.5990952,0.0,Motorcycle_or_truck,Public_Sector,Yes,0.0,422.15381629999996
2929,Turquoises,6.0,853.7923697999998,104469.7269,Below_30,81290.30976,No,696.3761327000001,Yes,Female,After_16:00,0.072530814,0.628254742,3338.0,415.9242298,14.75930968,4502.6376549999995,466.6935035,93.94446616,20.3942205,6.662000000000001,52639.75598,Yes,134746.9332,8.836024606,367.0789195,69.04225352,284.5974566,80.0,Healthcare,14.0,172.4279647,4.0,Public_or_other,Hightech,No,1.0,570.6728678999999
2931,Browns,3.0,162.6315852,2139.946482,45_and_up,3002.991918,Yes,268.08161859999996,Yes,Female,By_16:00,0.7668731,0.025294944,5744.0,199.60696819999998,4.059156543,793.9613304999999,156.6926034,9.643256525,14.12823302,10.255999999999998,20526.0702,Maybe,1558.2550509999999,3.638746303,39.47473941,89.39474241,54.21052841,100.0,Education,13.0,641.7916683,3.0,Motorcycle_or_truck,Industry_or_other,Yes,1.0,168.9757466
2932,Pinks,4.0,296.5022944,26082.474769999997,Below_30,9877.013054000001,No,573.3870228999999,Yes,Male,By_16:00,0.527622279,0.8281302209999999,6479.0,315.0307921,57.71313778,3269.077395,859.0245845000001,40.57686052,17.7491068,3.5210000000000004,41808.371230000004,Yes,69644.0445,9.495381271,263.9015811,91.41476755,98.83409814,60.0,Financial,7.0,,2.0,Motorcycle_or_truck,Industry_or_other,Yes,1.0,526.9383038
2935,Browns,10.0,120.60331470000001,5737.864219,45_and_up,1666.32994,Yes,346.435341,Yes,Female,By_16:00,0.136946705,0.44396796299999997,9527.0,359.4485774,0.330339046,2146.187333,32.9937276,84.99837674,,6.473,31580.580589999998,Yes,20371.57254,3.4285083160000003,142.7290179,82.86643429,40.2011049,60.0,Financial,12.0,616.7493102999999,3.0,Public_or_other,Hightech,No,1.0,17.31743906
2936,Browns,6.0,128.9261977,1574.3902369999998,30-45,1899.86034,Yes,611.9848904,Yes,Female,After_16:00,0.5149912999999999,0.16923380600000001,4162.0,493.29215999999997,76.97415608,1352.931175,653.7978813999999,52.63497173,22.21018145,11.838,47646.65243,Yes,1342.100184,8.569244083,36.63468554,28.14854214,42.97539925,80.0,Healthcare,12.0,494.05494739999995,0.0,Foot_or_bicycle,Services_or_Retail,No,0.0,328.7169557
2939,Pinks,9.0,274.6642355,28815.830410000002,Below_30,8483.826106,No,632.7387673,Yes,Female,After_16:00,0.45228950799999995,0.407440615,3557.0,418.0225325,76.63901644,3983.433041,671.7454819,38.26906544,,6.443,49144.41414,Yes,99060.51072,7.106454556,314.7387976,95.34871152,91.55474516,70.0,Social,6.0,208.6458832,2.0,Foot_or_bicycle,Student_or_Unemployed,No,0.0,450.08921660000004
2940,Khakis,5.0,344.90137749999997,53226.70247,45_and_up,,No,628.1051612000001,Yes,Female,By_16:00,0.111229415,0.8796487590000001,3204.0,417.832191,73.96523419,5465.396759,883.4340321000001,34.09420275,20.44094399,6.796,50762.028139999995,Yes,214344.2188,4.441341127,462.9732377,16.24956853,114.96712579999999,80.0,Healthcare,7.0,126.2998095,2.0,Car,Hightech,No,0.0,411.51773110000005
2941,Turquoises,6.0,270.8836901,39139.394810000005,Below_30,8253.402736,No,581.9087192000001,Yes,Male,By_16:00,0.382847349,0.521797022,7623.0,379.198931,60.94979371,5093.032568,328.5626287,60.48653219,19.47303086,2.377,46779.82685,Maybe,187890.5803,8.228328838,433.46347060000005,82.43783745,90.29456336,90.0,Environment,14.0,173.59779790000002,3.0,Foot_or_bicycle,Student_or_Unemployed,Yes,1.0,394.5666685
2942,Browns,,727.036074,18559.23227,30-45,58983.6179,No,96.99930571,Yes,Male,After_16:00,0.817373908,0.283768025,5046.0,82.72803912,48.3921855,931.2736051,498.93582050000003,40.58202568,9.09549554,10.954,8604.884106,No,5864.764845000001,9.716605667,76.58175269,54.02492869,242.345358,70.0,Social,12.0,757.9666685,4.0,Car,Services_or_Retail,No,2.0,29.77179046
2945,Yellows,3.0,-43.42547204,-4441.032744,30-45,205.0550229,Yes,651.5544622,Yes,Male,,0.550526463,0.908464403,7909.0,356.360362,26.27604443,3780.758354,658.3921073,56.167789500000005,18.87750942,6.091,47531.38189,Maybe,94128.54901,9.652579499,,64.08773917,-14.47515735,60.0,Financial,11.0,260.8009304,3.0,Car,Hightech,No,0.0,600.2995201
2946,Pinks,10.0,521.6926836,123133.8526,30-45,30424.25935,Yes,936.5209560000001,No,Female,By_16:00,0.288840992,0.501919562,3279.0,669.1729901000001,30.48829318,8419.172864,921.6185322000001,70.29535284,25.86837819,6.721,77690.26672999999,Maybe,501381.0936,7.926397943,708.0826883999999,64.00835875,173.89756119999998,60.0,Financial,7.0,269.52229730000005,5.0,Motorcycle_or_truck,Services_or_Retail,Yes,4.0,526.9139922
2947,Oranges,3.0,317.4509918,39137.473939999996,Below_30,11313.053909999999,Yes,706.8761992999999,Yes,Male,By_16:00,0.027957584,0.548001718,8132.0,546.6511321,91.55075946,4791.902201,721.3368285,68.01948356,23.38057168,3.8680000000000003,58203.302789999994,Maybe,136796.4149,8.642741391,369.8599937,40.36649815,105.8169973,30.0,Military,9.0,199.7598004,3.0,Motorcycle_or_truck,Industry_or_other,No,0.0,355.8083621
2949,Browns,3.0,412.28689110000005,4453.460728,45_and_up,19034.14903,No,427.70811060000005,Yes,Male,By_16:00,0.887762067,0.21775086300000002,5704.0,427.5673393,90.73900236,1179.190147,782.7026276,84.4313368,20.6777015,10.296,36580.501169999996,Yes,1050.119469,0.459794349,32.40554689,31.38407138,137.4289637,100.0,Education,12.0,633.1412612,3.0,Foot_or_bicycle,Services_or_Retail,Yes,0.0,79.31390122
2951,Browns,6.0,278.8437283,14710.20864,Below_30,8742.261779999999,No,300.5673874,Yes,Female,By_16:00,0.7493581570000001,0.5649819429999999,9382.0,270.2938775,66.22854737,2123.217072,722.0832126,9.655071283,16.4406167,6.617999999999999,26221.90384,Yes,25047.15554,8.287071045,158.26293169999997,65.59411271,92.94790945,,Environment,11.0,586.0692386,2.0,Car,Student_or_Unemployed,No,1.0,82.95320903
2952,Violets,1.0,416.47673710000004,21507.60329,30-45,19421.36697,No,248.58261729999998,Yes,Male,By_16:00,0.8592585429999999,0.232927023,6538.0,147.9984011,42.85027452,1845.2504370000001,654.4580432,10.9730348,12.16545934,9.462,19068.61318,Yes,24001.86826,0.6367877710000001,154.9253635,42.07009498,138.825579,90.0,Environment,11.0,577.1584302,1.0,Car,Public_Sector,Yes,0.0,199.78304
2953,Reds,3.0,111.6432988,19141.40721,45_and_up,1432.128451,No,751.2205355000001,No,Female,By_16:00,0.134468248,0.93987228,8250.0,484.51311060000006,60.48955913,6112.570191,601.8806559,39.28087391,22.01165852,3.75,59636.34522999999,Maybe,264560.4456,2.256107945,514.3543969,21.59266497,37.21443293,50.0,Other,8.0,34.6295813,0.0,Motorcycle_or_truck,Student_or_Unemployed,Yes,1.0,527.4465926
2954,Turquoises,10.0,222.06140040000003,34956.88326,Below_30,5563.049971,Yes,606.9675097,Yes,Female,After_16:00,0.33407788,0.774259266,4836.0,337.2866723,27.80683343,5397.17032,125.56541969999999,95.54956041,18.36536611,5.164,46795.79125,Yes,223029.2219,9.509323956,472.25969749999996,10.38952752,74.0204668,100.0,Education,12.0,165.52370159999998,3.0,Foot_or_bicycle,Industry_or_other,Yes,0.0,512.3670697
2957,Turquoises,7.0,279.055928,42787.32648,Below_30,8755.486525,,672.113157,Yes,Female,After_16:00,0.445300889,0.8496752940000001,8556.0,392.1281389,24.59243257,5384.121989,614.4028638999999,66.28557004,19.80222561,1.444,51757.18486,Maybe,211587.6456,4.6855047480000005,459.9865711,9.870863566,,90.0,Environment,14.0,124.05732450000001,0.0,Foot_or_bicycle,Industry_or_other,Yes,0.0,546.3983497
